STA_ID,LONG,LAT,SEASON,Date,THG_Fish,AFDW_Floc,AFDW_Soil,Alk_Phos_SW,Bulk_Dens_Floc,Bulk_Dens_Soil,CHLA_SW,CL_SW,COND,DO,Floc_Depth_ft,H2S_PW,MEHG_epi_peri,MEHG_Floc,MEHG_Peri_AVG,MEHG_soil,MEHG_soil_peri,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,PH_soil,PH_SW,REDOX_PW,REDOX_SW,SO4_soil,SO4_SW,Soil_Thickness_FT,Sol_Reac_Phos_PW,Sol_Reac_Phos_SW,TEMP,THG_epi_peri,THG_floc,THG_peri_AVG,THG_peri_soil,THG_soil,THG_SW,TOC_SW,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Nitrogen_SW,Tot_Phos_floc,Tot_Phos_soil,Tot_Phos_SW,TURB,Wat_Depth_ft
M062,-80.828675,25.808455,D,4/8/1995,231.030000,,74.400000,1.670000,,0.110000,,,291.000000,4.000000,,,3.240000,,3.215000,0.540000,3.190000,0.420000,,,,,7.180000,37.300000,,320.000000,2.000000,1.000000,,,24.170000,60.820000,,46.455000,32.090000,180.000000,2.630000,17.490000,,,,,397.810000,14.780000,1.340000,2.400000
M051,-80.450471,25.998521,D,4/8/1995,217.010000,,81.840000,1.730000,,0.160000,,,755.000000,3.790000,,,1.730000,,2.840000,0.410000,3.950000,0.510000,,,,,7.270000,161.500000,,280.000000,2.000000,1.000000,,,22.150000,40.200000,,68.485000,96.770000,120.000000,2.450000,26.680000,,,,,408.800000,36.660000,0.590000,3.000000
M058,-80.793915,25.858142,D,4/8/1995,77.270000,,89.510000,1.520000,,0.100000,,,325.000000,6.100000,,,0.510000,,0.510000,0.670000,,0.774000,,,,,7.480000,-6.000000,,360.000000,2.000000,2.400000,,,24.500000,42.230000,,89.550000,136.870000,130.000000,2.770000,16.250000,,,,,549.950000,26.870000,1.690000,2.600000
M050,-80.521874,26.035388,D,4/8/1995,114.060000,,82.180000,1.380000,,0.140000,,,578.000000,4.180000,,,4.230000,,4.230000,0.190000,,0.584000,,,,,7.460000,150.500000,,240.000000,18.000000,3.500000,,,23.860000,35.840000,,35.840000,,160.000000,1.580000,28.280000,,,,,202.270000,36.890000,0.420000,3.500000
M059,-80.699443,25.877171,D,4/8/1995,269.350000,,88.940000,2.530000,,0.110000,,,474.000000,6.980000,,,2.780000,,2.550000,0.220000,2.320000,0.762000,,,,,7.620000,-48.000000,,360.000000,7.200000,3.800000,,,25.060000,40.440000,,76.070000,111.700000,160.000000,2.680000,23.540000,,,,,843.830000,31.310000,0.670000,3.100000
M052,-80.827518,25.925328,D,4/8/1995,216.900000,,57.320000,1.200000,,0.150000,,,387.000000,2.730000,,,2.830000,,2.830000,0.230000,,0.455000,,,,,7.180000,-85.000000,,270.000000,2.000000,1.200000,,,24.670000,55.630000,,55.630000,,140.000000,2.100000,17.880000,,,,,608.680000,32.240000,0.630000,1.200000
M049,-80.576519,26.020458,D,4/8/1995,160.230000,,86.760000,2.510000,,0.110000,,,751.000000,5.200000,,,1.380000,,1.380000,6.540000,,0.978000,,,,,7.520000,167.500000,,290.000000,36.000000,4.000000,,,24.750000,34.800000,,34.800000,,100.000000,2.520000,35.380000,,,,,433.030000,36.120000,0.510000,3.400000
M053,-80.755646,25.932295,D,4/8/1995,171.850000,,92.590000,0.660000,,0.090000,,,334.000000,6.370000,,,2.510000,,1.315000,0.160000,0.120000,0.541000,,,,,7.330000,-64.000000,,400.000000,2.000000,3.300000,,,26.420000,79.010000,,58.430000,37.850000,240.000000,2.360000,13.330000,,,,,606.600000,23.870000,1.270000,2.200000
M044,-80.567034,26.079427,D,4/8/1995,262.260000,,42.870000,1.790000,,0.240000,,,607.000000,5.140000,,,10.540000,,10.540000,0.070000,,2.070000,,,,,7.350000,113.300000,,160.000000,17.000000,1.000000,,,23.330000,38.150000,,38.150000,,38.000000,3.630000,26.230000,,,,,293.340000,37.280000,0.420000,3.500000
M054,-80.710933,25.94713,D,4/8/1995,396.120000,,89.950000,1.430000,,0.100000,,,338.000000,8.410000,,,2.770000,,9.955000,0.120000,17.140000,0.813000,,,,,7.520000,219.700000,,400.000000,2.000000,3.500000,,,26.950000,,,118.150000,118.150000,220.000000,2.660000,15.600000,,,,,497.070000,24.100000,1.830000,2.500000
