STA_ID,LONG,LAT,SEASON,Date,THG_Fish,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M055,-80.605083,25.949222,D,4/10/1995,155.51,,,,,,,3.1,87.19,0.11,,170,,120,,,471.95,3.5,622,2.82,25.03,7.3,0.65,,1.33,,,2,,,,19,,3.47,27.84,,25.58,-200,,,4.46,32.73
M015,-80.340533,26.321743,D,4/10/1995,27.21,,,,,,,3,89.05,0.11,,160,0.68,140,,,745.61,2,844,4.02,24.58,7.32,0.71,,0.08,,,0.228,,,,48,,1.67,30.35,,45.96,194.8,,,,54.91
M014,-80.429004,26.308219,D,4/10/1995,173.86,,,,,,,4,88.09,0.08,,220,0.04,170,,,441.22,1.8,935,5.26,25.09,7.53,1.11,,1.8,,,0.93,,,,59,,2.77,39.75,,28.73,95.7,,,8.73,48.22
M030,-80.805393,26.173936,D,4/10/1995,99.28,,,,,,,1,14.2,0.37,,43,0.42,30,,,195.8,0.8,357,1.67,23.28,7.02,1.27,,0.53,,,0.488,,,,2,,2.2,21.5,,43.7,-32,,,,62.52
M013,-80.485609,26.308188,D,4/10/1995,204.1,,,,,,,4.1,87.22,0.12,,160,0.4,160,,,494.9,2.1,836,3.81,24.56,7.22,0.61,,0.52,,,0.956,,,,49,,2.15,32.7,,30.77,191,,,,
M011,-80.475021,26.359241,D,4/10/1995,210.85,,,,,,,4.4,85.09,0.1,,180,,140,,,371.62,1.4,1134,5.51,25.32,7.37,0.59,,0.73,,,0.753,,,,73,,1.9,41.65,,26.35,140.7,,,5.12,62.58
M032,-80.680163,26.211706,D,4/10/1995,6.01,,,,,,,0.5,11.65,0.6,,40,,22,,,266.17,1.8,869,3.54,25.29,7.42,2.32,,0.46,,,0.292,,,,40,,1.85,35.79,,37.82,-81,,,0.07,68.29
M012,-80.406578,26.379752,D,4/10/1995,12.13,,,,,,,6.9,86.5,0.07,,260,0.7,140,,,1176.89,1.1,1193,3.55,26.14,7.41,1.01,,0.08,,,0.37,,,,56,,0.894,43.59,,56.65,74.3,,,,
M027,-80.712773,26.273308,D,4/10/1995,101.93,,,,,,,1,27.03,0.35,,190,0.28,46,,,305.8,1.4,985,5.18,26.03,7.6,1.41,,0.44,,,0.313,,,,42,,1.38,44.89,,21.39,-106,,,2.24,54.51
M010,-80.452469,26.436764,D,4/10/1995,38.15,,,,,,,6.5,85.09,0.11,,180,0.7,170,,,585.87,1.1,803,4.24,26.89,7.13,0.67,,0.06,,,0.307,,,,56,,0.821,25.81,,49.91,111.5,,,,
